Name,API Level,Protection Level,Constant Value
LAUNCH_MULTI_PANE_SETTINGS_DEEP_LINK,32,NA,android.permission.LAUNCH_MULTI_PANE_SETTINGS_DEEP_LINK
LOADER_USAGE_STATS,30,signature|privileged|appop,android.permission.LOADER_USAGE_STATS
LOCATION_HARDWARE,18,Not for use by third-party applications.,android.permission.LOCATION_HARDWARE
MANAGE_DOCUMENTS,19,NA,android.permission.MANAGE_DOCUMENTS
MANAGE_EXTERNAL_STORAGE,30,signature|appop|preinstalled,android.permission.MANAGE_EXTERNAL_STORAGE
MANAGE_MEDIA,31,signature|appop|preinstalled,android.permission.MANAGE_MEDIA
MANAGE_ONGOING_CALLS,31,signature|appop,android.permission.MANAGE_ONGOING_CALLS
MANAGE_OWN_CALLS,26,normal,android.permission.MANAGE_OWN_CALLS
MANAGE_WIFI_INTERFACES,33,Not for use by third-party applications.,android.permission.MANAGE_WIFI_INTERFACES
MANAGE_WIFI_NETWORK_SELECTION,33,Not for use by third-party applications.,android.permission.MANAGE_WIFI_NETWORK_SELECTION
MASTER_CLEAR,1,Not for use by third-party applications.,android.permission.MASTER_CLEAR
MEDIA_CONTENT_CONTROL,19,NA,android.permission.MEDIA_CONTENT_CONTROL
MODIFY_AUDIO_SETTINGS,1,normal,android.permission.MODIFY_AUDIO_SETTINGS
MODIFY_PHONE_STATE,1,Not for use by third-party applications.,android.permission.MODIFY_PHONE_STATE
MOUNT_FORMAT_FILESYSTEMS,3,Not for use by third-party applications.,android.permission.MOUNT_FORMAT_FILESYSTEMS
MOUNT_UNMOUNT_FILESYSTEMS,1,Not for use by third-party applications.,android.permission.MOUNT_UNMOUNT_FILESYSTEMS
NEARBY_WIFI_DEVICES,33,dangerous,android.permission.NEARBY_WIFI_DEVICES
NFC,9,normal,android.permission.NFC
NFC_PREFERRED_PAYMENT_INFO,30,normal,android.permission.NFC_PREFERRED_PAYMENT_INFO
NFC_TRANSACTION_EVENT,28,normal,android.permission.NFC_TRANSACTION_EVENT
OVERRIDE_WIFI_CONFIG,33,Not for use by third-party applications.,android.permission.OVERRIDE_WIFI_CONFIG
PACKAGE_USAGE_STATS,23,signature|privileged|development|appop|retailDemo,android.permission.PACKAGE_USAGE_STATS
PERSISTENT_ACTIVITY,1,NA,android.permission.PERSISTENT_ACTIVITY
POST_NOTIFICATIONS,33,dangerous,android.permission.POST_NOTIFICATIONS
PROCESS_OUTGOING_CALLS,1,dangerous,android.permission.PROCESS_OUTGOING_CALLS
QUERY_ALL_PACKAGES,30,normal,android.permission.QUERY_ALL_PACKAGES
READ_ASSISTANT_APP_SEARCH_DATA,33,NA,android.permission.READ_ASSISTANT_APP_SEARCH_DATA
READ_BASIC_PHONE_STATE,33,NA,android.permission.READ_BASIC_PHONE_STATE
